instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
SUNY at Albany,12222,27136,149,78,,,15,91,233,62,8,0,265,,,71
SUNY at Fredonia,14063-1136,23969,23,145,,,,16,22,4,1,,61,3,,14
SUNY Brockport,14420-2919,25382,38,94,,,,66,52,20,3,,133,14,,34
SUNY College at Oswego,13126,25507,33,142,,,30,44,64,23,7,,108,,,18
SUNY College at Plattsburgh,12901-2681,26662,37,44,,,,32,58,0,2,,89,,,24
SUNY College at Potsdam,13676-2294,25257,11,90,,,,33,38,29,2,,47,10,,26
SUNY Oneonta,13820-4015,25782,10,176,,,,24,106,10,3,,154,,,20
Sweet Briar College,24595-9998,39370,2,0,,,,7,11,5,3,,8,2,14,5
Talladega College,35160,28388,7,0,,,,2,21,1,,,11,,,0
Tarleton State University,76401-0000,22730,8,0,,14,,18,24,14,,,162,,247,17
Taylor University,46989-1001,48755,19,51,,,,29,20,7,2,,20,,,4
Tennessee State University,37209-1561,23424,47,53,,19,,11,35,6,,,59,,,4
Tennessee Technological University,38505-0001,26434,104,212,61,151,,14,89,14,,,66,,,24
Texas A & M University-College Station,77843-1248,30083,257,,221,441,,135,717,124,36,,499,,,143
Texas A&M University-San Antonio,78224,25710,13,,,,,35,63,6,,,72,,52,41
Texas Lutheran University,78155-5999,44530,6,31,,,,1,16,3,0,,15,,,5
Texas State University,78666,23791,227,,,,,164,178,71,21,,468,48,,90
Texas Wesleyan University,76105-1536,47769,13,41,,,,7,11,0,,4,29,,,7
The Catholic University of America,20064,67156,18,19,,38,,14,10,3,30,13,69,,34,17
The College of Saint Rose,12203-1490,49672,12,94,,,,8,18,2,,1,45,,,4
The College of Wooster,44691,66150,14,2,,,,22,27,26,11,4,32,,,21
The University of Findlay,45840-3653,48125,4,24,,,,5,14,4,0,0,21,,,0
The University of Montana,59812,21668,26,61,,,,51,53,15,11,,92,4,,35
The University of Tennessee-Chattanooga,37403-2598,24606,58,131,23,69,,56,102,12,,,147,,,19
The University of Tennessee-Knoxville,37996,32010,92,26,74,191,,92,223,45,18,4,271,,,65
The University of Tennessee-Martin,38238,21714,13,73,,0,,7,30,2,5,,26,,,11
The University of Texas at Arlington,76013,27280,142,69,,156,,64,266,54,12,,193,,,74
The University of Texas Rio Grande Valley,78539-2999,20946,102,,,99,,127,535,43,15,,419,3,,48
The University of the South,37383-1000,62690,9,,,,,43,32,12,5,3,35,,,27
The University of Virginia's College at Wise,24293-4400,25276,8,,,,,19,,4,,,,,27,8
The University of West Florida,32514-5750,20322,10,90,,49,,37,114,19,8,,116,,39,40
Thomas College,04901-5097,42140,9,11,,,,2,,,,,26,,,
Tougaloo College,39174,23101,2,0,,,,5,21,2,,,12,,,4
Touro College,10018,38502,34,5,,,,3,142,18,,2,259,,,1
Towson University,21252-0001,27474,137,396,,,,77,204,47,18,7,364,16,,52
Trinity Christian College,60463-0929,45025,4,54,,,,2,8,2,1,,34,,9,2
Truman State University,63501-4221,21932,40,,,,,92,90,41,,,88,,,29
Tufts University,02155-5555,76200,170,0,28,45,,38,137,30,11,3,78,,,28
Tusculum University,37743,41972,3,24,,,,7,12,1,,,21,,,2
Tuskegee University,36088-1920,40750,6,3,13,41,,7,35,6,,,21,,,4
Union University,38305-3697,54990,8,21,,5,,10,2,3,,5,13,,0,13
University at Buffalo,14260-1660,28666,236,1,80,203,,59,311,98,12,0,579,14,,54
University of Advancing Technology,85283,27142,13,,,,,,,,,,,,,
University of Alaska Fairbanks,99775,22170,2,37,,23,,19,41,4,1,,38,,,6
University of Arizona,85721-0066,30041,162,269,71,128,,101,103,113,30,7,451,28,2,54
University of Arkansas,72701,26144,86,156,88,135,,64,253,27,16,,182,,26,79
University of Arkansas-Fort Smith,72913-3649,20879,32,60,,,,20,51,4,,,40,,,12
University of Bridgeport,06604-5620,59582,11,,,0,,8,21,3,,1,51,,23,
University of California-Berkeley,94720,39376,763,,110,177,,266,214,488,89,0,236,8,,102
University of California-Davis,95616-8678,35935,295,12,130,131,,172,341,279,43,7,738,,,94
University of California-Irvine,92697,35363,794,388,68,263,,121,770,288,42,1,887,33,,67
University of California-Los Angeles,90095-1405,35793,283,5,74,137,,353,552,667,123,11,991,26,,292
University of California-Riverside,92521,35387,165,102,69,145,,217,543,217,45,6,588,8,,93
University of California-San Diego,92093,33849,429,14,105,178,,75,299,428,35,1,423,3,,75
University of California-Santa Barbara,93106,36765,143,,54,88,,189,366,470,123,19,567,26,,159
University of California-Santa Cruz,95064-1011,37297,653,1,,,,0,206,102,44,2,460,,,118
University of Central Missouri,64093,20631,67,242,,,,17,74,7,0,,54,,,11
University of Chicago,60637,81531,80,,14,,,57,122,159,40,1,78,,,56
University of Colorado Boulder,80309-0017,31034,420,8,79,292,85,134,,161,46,8,445,9,,91
University of Colorado Colorado Springs,80918,25904,83,74,,119,,54,139,24,22,,152,,,43
University of Connecticut,6269,34284,76,147,92,177,,114,240,176,9,0,406,,35,64
University of Dallas,75062-4736,59600,8,11,,,,33,33,6,7,,19,,,13
University of Dayton,45469,60900,28,133,60,195,,23,69,2,2,3,67,,,11
University of Denver,80208,70092,47,,,39,,22,65,24,6,3,103,,51,14
University of Detroit Mercy,48221-3038,42648,1,5,,12,,4,92,2,0,3,28,,,7
University of Evansville,47722,53676,9,27,,16,,12,13,16,2,,15,,0,5
University of Georgia,30602,27450,262,314,,148,,119,515,102,18,17,427,2,55,77
University of Guam,96923,13954,9,55,,,,22,35,20,4,,18,,,6
University of Hawaii at Hilo,96720-4091,20672,17,,,,,14,32,7,4,,53,,,12
University of Hawaii at Manoa,96822-2217,29823,54,174,,79,,67,157,26,11,8,177,5,,27
University of Houston-Clear Lake,77058-1002,26986,41,,,8,,28,85,33,,,124,,54,36
University of Idaho,83844-2282,21820,30,112,33,82,,30,29,35,7,,97,5,,14
University of Illinois Chicago,60607,31381,258,116,63,173,,76,409,55,7,,444,,,30
University of Illinois Springfield,62703-5407,25473,93,14,,,,22,27,9,6,,61,,,21
University of Illinois Urbana-Champaign,61820-5711,30302,291,190,143,179,,135,2,408,22,0,501,19,,76
University of Indianapolis,46227-3697,46020,11,38,,3,,14,38,12,1,1,82,,,10
University of Louisiana at Lafayette,70503,26620,60,266,66,132,,37,115,17,,,125,,,23
University of Louisiana at Monroe,71209-0000,22169,37,53,,,,24,47,5,,,153,,,20
University of Maine,4469,25604,21,141,43,85,,28,49,19,4,,78,,,21
University of Maine at Farmington,04938-9978,23132,5,118,,,,23,8,3,,,30,,,4
University of Mary,58504,30500,1,56,,3,,5,22,2,2,3,35,,,4
University of Mary Hardin-Baylor,76513-2599,42812,9,67,,,,4,9,1,,8,49,,,5
University of Maryland-Baltimore County,21250,29030,249,3,56,120,,44,338,102,15,,307,10,,54
University of Maryland-College Park,20742,27866,735,133,85,336,,146,477,176,32,0,317,15,0,83
University of Massachusetts-Amherst,1003,31793,308,24,92,189,,115,296,196,18,1,419,13,,66
University of Massachusetts-Lowell,01854-5104,31332,149,,83,199,,71,129,56,8,,206,,,23
University of Memphis,38152,26386,53,147,,44,,80,91,16,9,,177,,,53
